15802,"140/13/0520/08/7 GLOVES ORYX",2.000
15803,"140/13/0520/08/8 GLOVES ORYX",1.000
15804,"110/20/4098/15/11 GLOVES BORMIO SKI MAN",1.000
15805,"110/20/5839/70/10 GLOVES TIROL SKI MAN",1.000
15806,"112/11/5501/34/7 GLOVES MULTITRONIC GORE-TEX",2.000
15808,"112/16/1002/15/8 GLOVES CHEROKEE",1.000
15809,"112/17/0370/09/8 GLOVES STORM",2.000
15810,"112/17/0370/10/8 GLOVES STORM",2.000
15811,"115/17/1211/34/8 GLOVES MAXIMUS SKI MAN",1.000
15812,"135/12/4740/08/9 GLOVES BERGEN",1.000
15813,"135/12/4740/09/10 GLOVES BERGEN",1.000
15814,"140/15/4500/08/8 GLOVES ALESUND",1.000
15815,"140/15/4500/09/8 GLOVES ALESUND",1.000
15816,"140/15/4500/34/10 GLOVES ALESUND",1.000
15818,"140/15/4500/72/8 GLOVES ALESUND",1.000
15819,"140/17/1425/34/8 VIKING GLOVES",2.000
15820,"161/14/4230/09/8 GLOVES KAZUKO",1.000
15821,"161/14/4230/73/8 GLOVES KAZUKO",1.000
15822,"161/17/0422/84/8 GLOVES DRILL",1.000
15823,"166/15/2022/09/8 GLOVES TAKARA",1.000
15829,"140/13/0520/08/9 GLOVES ORYX",2.000
15830,"140/16/3810/09/9 GLOVES YOSHI",2.000
15832,"140/16/3810/34/8 GLOVES YOSHI",1.000
15833,"140/16/3810/72/8 GLOVES YOSHI",1.000
15834,"140/17/1409/01/7 VIKING GLOVES",2.000
15835,"140/19/4500/01/6 GLOVES RUKKA MULTIFUNCTION",2.000
15836,"140/19/4500/70/6 GLOVES RUKKA MULTIFUNCTION",2.000
15838,"161/20/2012/53/10 GLOVES DUSTER SKI MAN",0.000
16002,"112/16/1285/08/6 GLOVES KURUK SKI MAN",1.000
16003,"113/14/5200/06/6 GLOVES SALEA",1.000
16004,"113/14/5200/34/7 GLOVES SALEA",1.000
16005,"113/15/4646/06/5 GLOVES FLORIDA",1.000
16006,"113/16/5850/09/5 GLOVES ASTRID",0.000
16007,"113/16/5850/09/7 GLOVES ASTRID",1.000
16008,"113/17/0330/70/6 GLOVES LARA",1.000
16009,"113/17/1701/15/6 GLOVES LUCILLA",1.000
16010,"120/15/2700/34/6 GLOVES SAMURAI JR",1.000
16026,"112/18/3317/74/7 GLOVES SNAKE SKI MAN",0.000
16027,"113/14/5200/34/6 GLOVES SALEA",1.000
16028,"113/14/5200/50/5 GLOVES SALEA",1.000
16029,"113/15/2800/08/5 GLOVES AXELIA SKI LADY",2.000
16030,"113/15/4646/89/6 GLOVES FLORIDA",1.000
16031,"113/16/5850/15/5 GLOVES ASTRID",1.000
16032,"113/16/5850/15/6 GLOVES ASTRID",1.000
16033,"113/16/5850/64/6 GLOVES ASTRID",1.000
16034,"113/17/0330/09/6 GLOVES LARA",1.000
16035,"113/17/0330/46/6 GLOVES LARA",0.000
16037,"113/18/1245/09/5 VERA GLOVES",2.000
16038,"113/18/2870/15/5 ESCOVA GLOVES",1.000
16049,"111/19/4028/54/9 BLAZE GLOVES",1.000
16050,"113/13/0515/72/6 GLOVES SONJA SKI LADY",1.000
16051,"113/15/2590/43/5 GLOVES COLETTE",1.000
16052,"113/16/5850/09/6 GLOVES ASTRID",1.000
16053,"113/16/5850/64/5 GLOVES ASTRID",2.000
16054,"166/15/2022/09/6 GLOVES TAKARA",1.000
16073,"112/12/5050/09/7 GLOVES EXPERT",1.000
16074,"113/14/4580/01/6 GLOVES SUMIKO",2.000
16075,"113/14/4580/34/6 GLOVES SUMIKO",1.000
16076,"113/14/5200/09/6 GLOVES SALEA",1.000
16077,"113/14/5200/34/5 GLOVES SALEA",1.000
16078,"113/15/2590/43/6 GLOVES COLETTE",1.000
